Name,price,type,bairro,address,url,latitude,longitude,tipo_novo
Guarita,60,"Bebidas, Comida de bar, Pizza",Pinheiros,"Rua Simão Álvares, 957, Pinheiros, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/guarita-pinheiros,-23.5598940000,-46.6914490000,Pizza
Tatu Bola,90,"Brasileira, Comida de bar, Grelhados",Jardim Paulista,"Rua Augusta, 3000, Jardim Paulista, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/tatu-bola-jardim-paulista,-23.5663350000,-46.6690220000,Comida de bar
Portucho,120,"Brasileira, Gaúcha, Argentina",Itaim Bibi,"Rua das Margaridas, 191, Brooklin Novo, Itaim Bibi, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/portucho-itaim-bibi-zona-oeste,-23.6238333333,-46.6881666667,Brasileira
Hakka Sushi,150,"Sushi, Japonesa",Itaim Bibi,"Rua Gomes de Carvalho, 1146, Vila Olímpia, Itaim Bibi, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/hakka-sushi-itaim-bibi,-23.5971666667,-46.6845000000,Japonesa
Naru,100,Japonesa,Perdizes,"Praça Tomás Morus, 200, Perdizes, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/naru-perdizes,-23.5276210000,-46.6733640000,Japonesa
Brasa-Brasa,110,Churrasco,Itaim Bibi,"Avenida Nova Independência, 50, Brooklin Novo, Itaim Bibi, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/brasa-brasa-itaim-bibi,-23.6076240000,-46.6924770000,Churrasco
Pão,45,"Padaria, Pastelaria",Jardim Paulista,"Rua Bela Cintra, 1618, Jardim Paulista, São Paulo 10000",https://www.zomato.com/pt/sao-paulo-sp/pao-jardim-paulista,-23.5598333333,-46.6653333333,Padaria
Viena Café,50,Pastelaria,Jardim Paulista,"Conjunto Nacional, Livraria Cultura, Avenida Paulista, 2125, Jardim Paulista, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/viena-cafe-jardim-paulista,-23.5586890000,-46.6599180000,Pastelaria
Taco Bell,40,"Fast food, Mexicana",Itaim Bibi,"Brascan Century Plaza, Rua Joaquim Floriano, 466, Itaim Bibi, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/taco-bell-itaim-bibi,-23.5843660000,-46.6748540000,Fast food
Patisserie Douce France,55,"Padaria, Sobremesa",Jardim Paulista,"Alameda Jaú, 550, Jardim Paulista, São Paulo 10000",https://www.zomato.com/pt/sao-paulo-sp/patisserie-douce-france-jardim-paulista-zona-oeste,-23.5658333333,-46.6516666667,Padaria
Café Suplicy,35,"Pastelaria, Sobremesa",Jardim Paulista,"Alameda Lorena, 1430, Jardim Paulista, São Paulo 10000",https://www.zomato.com/pt/sao-paulo-sp/cafe-suplicy-jardim-paulista,-23.5645000000,-46.6653333333,Pastelaria
Don Pepe Di Napoli,90,Italiana,Moema,"Alameda dos Arapanés, 955, Moema, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/don-pepe-di-napoli-moema,-23.6060000000,-46.6661666667,Italiana
Genuíno,80,"Brasileira, Comida de bar",Vila Mariana,"Rua Joaquim Távora, 1217, Vila Mariana, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/genu%C3%ADno-vila-mariana-zona-sul,-23.5871740000,-46.6440690000,Comida de bar
OpyCo,80,Brasileira,Lapa,"Rua Mariquita de Toledo César, 20, Vila Romana, Lapa, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/opyco-lapa,-23.5251540000,-46.6868910000,Brasileira
A Tapioca,20,Fast food,Centro,"Shopping Galeria, Rua Dona Primitiva Vianco, 100, Centro, Osasco",https://www.zomato.com/pt/sao-paulo-sp/a-tapioca-centro-osasco,-23.5290000000,-46.7761666667,Fast food
Sushibol,120,"Sushi, Japonesa",Perdizes,"Rua Doutor Homem de Melo, 436, Perdizes, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/sushibol-perdizes,-23.5366666667,-46.6688333333,Japonesa
Blue Sandwich Market,70,"Sandwich, Hamburgueria",Consolação,"Rua Haddock Lobo, 1396, Cerqueira César, Consolação, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/blue-sandwich-market-consola%C3%A7%C3%A3o,-23.5631570000,-46.6671370000,Hamburgueria
Aromatique - Meliá Jardim Europa,130,Contemporânea,Itaim Bibi,"Meliá Jardim Europa, Rua João Cachoeira, 107, Itaim Bibi, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/aromatique-meli%C3%A1-jardim-europa-itaim-bibi,-23.5811020000,-46.6788350000,Contemporânea
Ô Fiô,80,"Brasileira, Comida de bar",Morumbi,"Rua Lício Marcondes do Amaral, 51, Morumbi, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/%C3%B4-fi%C3%B4-morumbi,-23.5857190000,-46.7182140000,Comida de bar
BH Lanches,45,Brasileira,Consolação,"Rua Augusta, 1398, Consolação, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/bh-lanches-consola%C3%A7%C3%A3o-centro,-23.5570000000,-46.6591666667,Brasileira
Cuca Grande,35,Brasileira,Consolação,"Praça Roosevelt, 28, Consolação, Consolação",https://www.zomato.com/pt/sao-paulo-sp/cuca-grande-consola%C3%A7%C3%A3o-centro,-23.5473070000,-46.6471800000,Brasileira
Yosugiru Sushi,100,"Sushi, Japonesa",Vila Campesina,"Avenida Doutor Carlos de Morais Barros, 125, Vila Campesina, Osasco",https://www.zomato.com/pt/sao-paulo-sp/yosugiru-sushi-vila-campesina-osasco,-23.5421666667,-46.7715000000,Japonesa
Sushiguen,150,Japonesa,Jardim Paulista,"Avenida Brigadeiro Luis Antonio, 2367, Jardim Paulista, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/sushiguen-jardim-paulista-zona-oeste,-23.5683930000,-46.6494120000,Japonesa
Villa Famiglia Lucco,100,Pizza,Lapa,"Rua Tito, 79, Lapa, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/villa-famiglia-lucco-lapa,-23.5296666667,-46.6933333333,Pizza
Restaurante Cereja,80,"Churrasco, Portuguesa, Italiana",Mooca,"Rua Siqueira Bueno, 2325, Mooca, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/restaurante-cereja-mooca,-23.5556550000,-46.5817120000,Italiana
Mascarpone,50,Pizza,Lapa,"Rua Spetiba, 86, Lapa, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/mascarpone-lapa-zona-oeste,-23.5300000000,-46.7020000000,Pizza
São Benedito,160,Brasileira,Pinheiros,"Praça Benedito Calixto, 78, Pinheiros, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/sao-benedito-pinheiros-zona-oeste,-23.5585000000,-46.6803333333,Brasileira
Bar da Praça,90,Brasileira,Santa Cecília,"Praça Villaboim, 65, Higienópolis, Santa Cecília, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/bar-da-praca-santa-cec%C3%ADlia,-23.5445000000,-46.6606666667,Brasileira
Tabuleiro do Marconi,90,"Baiana, Brasileira",Itaim Bibi,"Rua Ribeirão Claro, 319, Vila Olímpia, Itaim Bibi, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/tabuleiro-do-marconi-itaim-bibi-zona-oeste,-23.5995000000,-46.6783333333,Brasileira
Salen's Express,30,"Brasileira, Fast food",Moema,"Shopping Ibirapuera - Piso Jurupis, Avenida Ibirapuera, 3103, Moema, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/salens-express-moema-zona-sul,-23.6102980000,-46.6666420000,Brasileira
Konstanz,150,"Alemã, Internacional",Moema,"Avenida Aratãs, 713, Moema, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/konstanz-moema-zona-sul,-23.6112610000,-46.6602260000,Internacional
Prainha Paulista,80,"Brasileira, Comida de bar",Jardim Paulista,"Alameda Joaquim Eugênio de Lima, 557, Jardim Paulista, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/prainha-paulista-jardim-paulista-zona-oeste,-23.5665640000,-46.6512570000,Comida de bar
Bread & Co,85,Padaria,Moema,"Rua Lourenço de Almeida, 470, Vila Nova Conceição, Moema, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/bread-co-moema-zona-sul,-23.5911666667,-46.6675000000,Padaria
Umai Sushi,120,"Japonesa, Sushi",Vila Madalena,"Rua Mourato Coelho, 1373, Vila Madalena, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/umai-sushi-vila-madalena,-23.5563333333,-46.6926666667,Japonesa
La Ventana Parrilla,200,Argentina,Moema,"Rua Tuim, 61, Moema, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/la-ventana-moema-zona-sul,-23.5979530000,-46.6668220000,Argentina
Empanadas Bar,55,"Argentina, Comida de bar",Vila Madalena,"Rua Wisard, 489, Vila Madalena, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/empanadas-bar-vila-madalena,-23.5563333333,-46.6916666667,Comida de bar
Ciao Vino & Birra,70,Italiana,Vila Mariana,"Rua Tutóia, 451, Paraíso, Vila Mariana, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/ciao-vino-birra-vila-mariana-zona-sul,-23.5746666667,-46.6506666667,Italiana
Leiriense,55,"Padaria, Brasileira",Itaim Bibi,"Avenida Padre Antonio José dos Santos, 1716, Brooklin Novo, Itaim Bibi, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/leiriense-itaim-bibi-zona-oeste,-23.6056666667,-46.6925000000,Padaria
GattaMelata,30,Sobremesa,Perdizes,"Rua Itapicuru, 411, Perdizes, São Paulo 10000",https://www.zomato.com/pt/sao-paulo-sp/gattamelata-perdizes,-23.5355000000,-46.6680000000,Sobremesa
Burger 700 Classic,55,Americana,Perdizes,"Avenida Sumaré, 700, Perdizes, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/burger-700-classic-perdizes-zona-oeste,-23.5351666667,-46.6743333333,Americana
Academia da Gula,100,"Portuguesa, Brasileira",Vila Mariana,"Rua Caravelas, 374, Vila Mariana, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/academia-da-gula-vila-mariana-zona-sul,-23.5831666667,-46.6501666667,Brasileira
Deep Bar 611,100,Comida de bar,Barra Funda,"Rua Barra Funda, 611, Barra Funda, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/deep-bar-611-barra-funda,-23.5293070000,-46.6566640000,Comida de bar
